,Unnamed: 0,id,brand,category,name,size,rating,number_of_reviews,love,price,value_price,options,online_only,exclusive,limited_edition,limited_time_offer,discount,g,mL,dollarpermL,dollarperg
10,12,1886621,Acqua Di Parma,Perfume,Peonia Nobile,1.7 oz/ 50 mL,4.5,19,2300,142.0,142.0, - 0.70oz/20mL Eau de Parfum Spray - 1.7 oz/ 50 mL Eau de Parfum Spray  - 3.4 oz/ 100 mL Eau de Parfum Spray,1,0,0,0,0.0,0.0,50.0,2.84,0.0
11,13,1417575,Acqua Di Parma,Perfume,Mandorlo di Sicilia,2.5 oz/ 74 mL,4.5,44,2900,120.0,120.0, - 1oz/30mL Eau de Toilette  - 2.5 oz/ 74 mL Eau de Toilette Spray  - 5 oz/ 148 mL Eau de Toilette Spray,1,0,0,0,0.0,0.0,74.0,1.6216216216216217,0.0
12,14,2339661,Acqua Di Parma,Perfume,Camelia Eau de Parfum,3.4 oz/ 100 mL,0.0,0,143,275.0,275.0, - 0.68 oz/ 20 mL Eau de Parfum Spray - 3.4 oz/ 100 mL Eau de Parfum Spray ,1,0,0,0,0.0,0.0,100.0,2.75,0.0
13,16,2044725,Acqua Di Parma,Perfume,Chinotto di Liguria,2.5 oz/ 75 mL,4.5,6,306,120.0,120.0, - 2.5 oz/ 75 mL Eau de Toilette Spray  - 5 oz/ 150 mL Eau de Toilette Spray,1,0,0,0,0.0,0.0,75.0,1.6,0.0
14,17,2222917,Acqua Di Parma,Body Lotions & Body Oils,Fico di Amalfi Spray Body Lotion,5 oz/150 mL,3.0,2,420,55.0,55.0,no options,1,0,0,0,0.0,0.0,150.0,0.36666666666666664,0.0
15,18,967224,Acqua Di Parma,Body Sprays & Deodorant,Colonia Alcohol-Free Deodorant,2.7 oz/ 77 g,3.5,7,400,50.0,50.0,no options,1,0,0,0,0.0,77.0,0.0,0.0,0.6493506493506493
16,19,1059500,Acqua Di Parma,Cologne,Colonia Intensa,1.7 oz/ 50 mL,4.0,20,584,120.0,120.0, - 1.7 oz/ 50 mL Eau de Cologne Spray ,1,0,0,0,0.0,0.0,50.0,2.4,0.0
17,21,2243715,Acqua Di Parma,Perfume,Blu Mediterraneo Cipresso di Toscana Travel Spray,1 oz / 30 mL,5.0,1,250,70.0,70.0, - 1 oz / 30 mL Eau de Toilette Spray ,1,0,0,0,0.0,0.0,30.0,2.3333333333333335,0.0
18,22,1979608,Acqua Di Parma,Perfume,Colonia Pura,1.7 oz/ 50 mL,4.5,5,396,120.0,120.0, - 1.7 oz/ 50 mL Eau de Cologne Spray  - 3.4 oz/ 100 mL Eau de Cologne Spray,1,0,0,0,0.0,0.0,50.0,2.4,0.0
19,23,2222909,Acqua Di Parma,Body Lotions & Body Oils,Arancia di Capri Spray Body Lotion,5 oz/150 mL,3.0,2,444,55.0,55.0,no options,1,0,0,0,0.0,0.0,150.0,0.36666666666666664,0.0
20,24,1226885,Acqua Di Parma,Perfume,Magnolia Nobile,1.7 oz/ 50 mL,4.5,34,1900,142.0,142.0, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 3.4 oz/ 101 mL Eau de Parfum Spray,1,0,0,0,0.0,0.0,50.0,2.84,0.0
21,25,1915396,Acqua Di Parma,Cologne,Colonia Ebano Eau de Cologne Concentré,3.4 oz/ 100 mL,4.0,1,116,245.0,245.0, - 3.4 oz/ 100 mL Eau de Cologne Spray  - 6.0 oz/ 180 mL Eau de Cologne Spray,1,0,0,0,0.0,0.0,100.0,2.45,0.0
22,26,1775055,Acqua Di Parma,Cologne,Colonia Club,1.7 oz/ 50 mL,0.0,0,259,120.0,120.0, - 1.7 oz/ 50 mL Eau de Cologne Spray ,1,0,0,0,0.0,0.0,50.0,2.4,0.0
23,29,1629369,Acqua Di Parma,Cologne,Colonia Leather,3.4 oz/ 101 mL,4.0,5,303,245.0,245.0,no options,1,0,0,0,0.0,0.0,101.0,2.4257425742574257,0.0
24,30,1915412,Acqua Di Parma,Cologne,Colonia Mirra Eau de Cologne Concentré,3.4 oz/ 100 mL,4.0,2,160,245.0,245.0, - 3.4 oz/ 100 mL Eau de Cologne Spray ,1,0,0,0,0.0,0.0,100.0,2.45,0.0
25,33,2339703,Acqua Di Parma,Perfume,Sakura Eau de Parfum,3.4 oz/ 100 mL,0.0,0,165,275.0,275.0, - 0.7 oz/ 20 mL Eau de Parfum Spray - 3.4 oz/ 100 mL Eau de Parfum Spray ,1,0,0,0,0.0,0.0,100.0,2.75,0.0
26,34,2339687,Acqua Di Parma,Perfume,Yuzu Eau de Parfum,3.4 oz/ 100 mL,0.0,0,122,275.0,275.0, - 0.7 oz/ 20 mL Eau de Parfum Spray - 3.4 oz/ 100 mL Eau de Parfum Spray ,1,0,0,0,0.0,0.0,100.0,2.75,0.0
27,35,1794585,AERIN,Perfume,Mediterranean Honeysuckle,1.7 oz/ 50 mL,4.0,91,8000,130.0,130.0, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 3.4 oz/ 101 mL Eau de Parfum Spray - 0.27 oz/ 8 mL Eau de Parfum Spray,1,0,0,0,0.0,0.0,50.0,2.6,0.0
28,36,1639228,AERIN,Perfume,Amber Musk,1.7 oz/ 50 mL,4.5,77,5600,130.0,130.0, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 3.4 oz/ 101 mL Eau de Parfum Spray - 0.27 oz/ 8 mL Eau de Parfum Spray,1,0,0,0,0.0,0.0,50.0,2.6,0.0
29,37,1699222,AERIN,Perfume,Rose De Grasse,1.7 oz/ 50 mL,5.0,12,1700,235.0,235.0, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 3.4 oz/ 100 mL Eau de Parfum ,1,0,0,0,0.0,0.0,50.0,4.7,0.0
30,38,1639236,AERIN,Perfume,Lilac Path,1.7 oz/ 50 mL,4.5,63,3800,130.0,130.0, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 3.4 oz/ 101 mL Eau de Parfum Spray,1,0,0,0,0.0,0.0,50.0,2.6,0.0
31,39,2317907,AERIN,no category,Wild Geranium,0.27 oz/ 8 mL,0.0,0,108,30.0,30.0, - 1.7 oz/ 50 mL Eau de Parfum Spray - 3.4 oz/ 100 mL Eau de Parfum Spray - 0.27 oz/ 8 mL Eau de Parfum Spray ,1,0,0,0,0.0,0.0,8.0,3.75,0.0
32,40,2350064,AERIN,Rollerballs & Travel Size,Mini Mediterranean Honeysuckle Eau de Parfum Travel Spray,0.27 oz/ 8 mL,4.5,32,5900,30.0,30.0,no options,1,0,0,0,0.0,0.0,8.0,3.75,0.0
33,41,2039121,AERIN,Perfume,Hibiscus Palm Eau de Parfum,1.7 oz/ 50 mL,4.5,39,4400,130.0,130.0, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 3.4 oz/ 100mL Eau de Parfum Spray - 0.27 oz/ 8 mL Eau de Parfum Spray,1,0,0,0,0.0,0.0,50.0,2.6,0.0
34,42,2317907,AERIN,Perfume,Wild Geranium Travel Spray,0.27 oz/ 8 mL,5.0,2,697,30.0,30.0, - 0.27 oz/ 8 mL Eau de Parfum Spray ,1,0,0,0,0.0,0.0,8.0,3.75,0.0
35,43,1855626,AERIN,Perfume,Tangier Vanille,1.7 oz/ 50 mL,3.5,33,1500,130.0,130.0, - 1.7 oz/ 50 mL Eau de Parfum Spray ,1,0,0,0,0.0,0.0,50.0,2.6,0.0
36,44,1659077,AERIN,Perfume,Waterlily Sun,1.7 oz / 50 mL,4.5,48,3900,130.0,130.0, - 1.7 oz / 50 mL Eau de Parfum Spray  - 3.4 oz/ 101 mL Eau de Parfum Spray,1,0,0,0,0.0,0.0,50.0,2.6,0.0
37,45,2350031,AERIN,Fragrance,Mini Amber Musk Eau de Parfum Travel Spray,0.27 oz/ 8 mL,4.5,33,4700,30.0,30.0,no options,1,0,0,0,0.0,0.0,8.0,3.75,0.0
38,46,1639210,AERIN,Perfume,Gardenia Rattan,1.7 oz/ 50 mL,4.0,17,1800,130.0,130.0, - 1.7 oz/ 50 mL Eau de Parfum Spray ,1,0,0,0,0.0,0.0,50.0,2.6,0.0
39,47,1738640,AERIN,Lip Balm & Treatment,Rose Lip Conditioner,0.34 oz/ 10 mL,4.5,386,17000,30.0,30.0,no options,1,0,0,0,0.0,0.0,10.0,3.0,0.0
40,48,1738582,AERIN,Perfume,Ikat Jasmine,3.4 oz/ 101 mL,4.5,52,4700,180.0,180.0, - 1.7 oz/ 50 mL Eau de Parfum Spray - 3.4 oz/ 101 mL Eau de Parfum Spray  - Out of stock: .27 oz/ 8 mL Eau de Parfum Rollerball,1,0,0,0,0.0,0.0,101.0,1.7821782178217822,0.0
41,49,2192177,AERIN,Perfume,Aegea Blossom Eau de Parfum,1.7oz/50mL,4.5,12,1100,130.0,130.0, - 1.7oz/50mL Eau de Parfum1.7oz/50mL Spray  - 3.4oz/100mL Eau de Parfum Spray - 0.27 oz/ 8 mL Eau de Parfum Spray,1,0,0,0,0.0,0.0,50.0,2.6,0.0
42,50,2350023,AERIN,Rollerballs & Travel Size,Mini Aegea Blossom Eau de Parfum Travel Spray,0.27 oz/ 8 mL,4.0,11,1300,30.0,30.0,no options,1,0,0,0,0.0,0.0,8.0,3.75,0.0
43,51,1639251,AERIN,Perfume,Evening Rose,1.7 oz/ 50 mL,4.5,23,2900,130.0,130.0, - 1.7 oz/ 50 mL Eau de Parfum Spray ,1,0,0,0,0.0,0.0,50.0,2.6,0.0
44,52,1659085,AERIN,Perfume,Iris Meadow,1.7 oz/ 50 mL,4.5,9,1400,130.0,130.0, - 1.7 oz/ 50 mL Eau de Parfum Spray ,1,0,0,0,0.0,0.0,50.0,2.6,0.0
45,53,1736065,AERIN,Lotions & Oils,Waterlily Sun Body Cream,1 oz / 30 mL,5.0,4,961,15.0,15.0,no options,0,0,0,0,0.0,0.0,30.0,0.5,0.0
46,54,2115467,AERIN,Rollerballs & Travel Size,Ikat Jasmine Rollerball,.27 oz/ 8 mL,4.5,3,1300,30.0,30.0, - Out of stock: .27 oz/ 8 mL Eau de Parfum Rollerball ,1,0,0,0,0.0,0.0,8.0,3.75,0.0
47,55,1912427,AERIN,Perfume,Garden Rose Eau de Cologne,6.7 oz/ 200 mL,4.0,3,1600,175.0,175.0, - 6.7 oz/ 200 mL Eau de Cologne Spray ,1,0,0,0,0.0,0.0,200.0,0.875,0.0
48,56,1912419,AERIN,Perfume,Linen Rose Eau de Cologne,6.7 oz/ 200 mL,4.0,14,1300,175.0,175.0, - 6.7 oz/ 200 mL Eau de Cologne Spray ,1,0,0,0,0.0,0.0,200.0,0.875,0.0
49,59,2325223,Aether Beauty,Highlighter,Supernova Crushed Diamond Highlighter,0.37 fl oz/ 10.5 g,5.0,59,3900,38.0,38.0,no options,0,0,0,0,0.0,10.5,0.0,0.0,3.619047619047619
50,60,2265866,Aether Beauty,Cheek Palettes,Crystal Charged Cheek Palette,0.3 oz/ 9 g,5.0,18,1000,44.0,44.0,no options,1,0,1,0,0.0,9.0,0.0,0.0,4.888888888888889
51,62,2324978,Aether Beauty,Lipstick,Radiant Ruby Lip Crème,0.2 fl oz/ 5.5 ml,5.0,35,4100,28.0,28.0,no options,1,0,0,0,0.0,0.0,5.5,5.090909090909091,0.0
52,64,2170827,Algenist,Moisturizers,GENIUS Sleeping Collagen,2 oz/ 60 mL,4.5,1000,18200,98.0,98.0,no options,0,1,0,0,0.0,0.0,60.0,1.6333333333333333,0.0
53,67,1328855,Algenist,Eye Creams & Treatments,Complete Eye Renewal Balm,0.5 oz/ 15 mL,4.0,873,27500,68.0,68.0,no options,0,0,0,0,0.0,0.0,15.0,4.533333333333333,0.0
54,69,1644376,Algenist,Eye Creams & Treatments,GENIUS Ultimate Anti-Aging Eye Cream,0.5 oz/ 15 mL,4.0,100,5100,74.0,74.0,no options,0,0,0,0,0.0,0.0,15.0,4.933333333333334,0.0
55,70,2063014,Algenist,Lip Balms & Treatments,GENIUS Liquid Collagen Lip,0.34 oz/ 10 mL,4.0,491,32100,35.0,35.0,no options,0,1,0,0,0.0,0.0,10.0,3.5,0.0
56,71,1675974,Algenist,Face Serums,GENIUS Ultimate Anti-Aging Vitamin C+ Serum,1 oz/ 30 mL,4.0,221,8900,118.0,118.0,no options,0,0,0,0,0.0,0.0,30.0,3.933333333333333,0.0
57,73,2211753,Algenist,Face Masks,ALIVE Prebiotic Balancing Mask,1.7 oz/ 50 mL,4.5,63,8100,38.0,38.0,no options,0,1,0,0,0.0,0.0,50.0,0.76,0.0
58,75,1357847,Algenist,Moisturizers,Overnight Restorative Cream,2 oz/ 60 mL,4.5,234,8900,94.0,94.0,no options,0,0,0,0,0.0,0.0,60.0,1.5666666666666667,0.0
59,76,1898634,Algenist,Face Serums,POWER Recharging Night Pressed Serum,2 oz/ 60 mL,4.5,184,8800,95.0,95.0,no options,0,1,0,0,0.0,0.0,60.0,1.5833333333333333,0.0
60,78,1649771,Algenist,Face Wash & Cleansers,GENIUS Ultimate Anti-Aging Melting Cleanser,5 oz/ 150 mL,4.0,302,7100,38.0,38.0,no options,0,0,0,0,0.0,0.0,150.0,0.25333333333333335,0.0
61,79,1772821,Algenist,Eye Creams & Treatments,POWER Advanced Wrinkle Fighter 360° Eye Serum,0.5 oz/ 15 mL,4.0,73,7200,70.0,70.0,no options,0,1,0,0,0.0,0.0,15.0,4.666666666666667,0.0
62,80,2282390,Algenist,Decollete & Neck Creams,ELEVATE Firming & Lifting Neck Cream,2 oz/ 60 mL,4.5,3,1400,84.0,84.0,no options,0,1,0,0,0.0,0.0,60.0,1.4,0.0
63,81,2062990,Algenist,Face Serums,ELEVATE Advanced Retinol Serum,1 oz/ 30 mL,4.5,24,4100,98.0,98.0,no options,0,0,0,0,0.0,0.0,30.0,3.2666666666666666,0.0
64,84,2282408,Algenist,Moisturizers,GENIUS Collagen Calming Relief,1.35 oz/ 40 mL,4.5,77,6800,58.0,58.0,no options,0,1,0,0,0.0,0.0,40.0,1.45,0.0
65,85,1545748,Algenist,Face Oils,Advanced Anti-Aging Repairing Oil,1 oz/ 30 mL,4.5,232,8000,82.0,82.0,no options,0,0,0,0,0.0,0.0,30.0,2.7333333333333334,0.0
66,86,1772813,Algenist,Moisturizers,POWER Advanced Wrinkle Fighter Moisturizer,2 oz/ 60 mL,4.5,67,4200,85.0,85.0,no options,0,1,0,0,0.0,0.0,60.0,1.4166666666666667,0.0
67,87,1790039,Algenist,Face Wash & Cleansers,GENIUS Ultimate Anti-Aging Foaming Cleanser,5 oz/ 148 mL,4.5,26,2300,38.0,38.0,no options,0,0,0,0,0.0,0.0,148.0,0.25675675675675674,0.0
68,89,2255503,Algenist,Face Serums,AA (Alguronic Acid) Barrier Serum,1 oz/ 30 mL,4.5,72,2400,85.0,85.0,no options,0,1,0,0,0.0,0.0,30.0,2.8333333333333335,0.0
69,90,2239945,Algenist,Hand Cream & Foot Cream,GENIUS Liquid Collagen Hand Cream,1.7 oz/ 50 mL,4.0,14,1400,38.0,38.0,no options,0,0,0,0,0.0,0.0,50.0,0.76,0.0
70,91,1957208,Algenist,Moisturizers,ELEVATE Advanced Lift Contouring Cream,2 oz/ 60 mL,4.5,37,2200,96.0,96.0,no options,0,0,0,0,0.0,0.0,60.0,1.6,0.0
71,92,1328814,Algenist,Face Serums,Concentrated Reconstructing Serum,1 oz/ 30 mL,4.0,299,5400,98.0,98.0,no options,0,0,0,0,0.0,0.0,30.0,3.2666666666666666,0.0
72,93,1357821,Algenist,Face Wash & Cleansers,Gentle Rejuvenating Cleanser,4 oz/ 120 mL,4.5,240,4800,28.0,28.0,no options,0,0,0,0,0.0,0.0,120.0,0.23333333333333334,0.0
73,94,1792951,Algenist,Face Primer,REVEAL Color Correcting Radiant Primer,1 oz/ 30 mL,4.5,83,3800,36.0,36.0,no options,0,0,0,0,0.0,0.0,30.0,1.2,0.0
74,95,2239937,Algenist,Body Lotions & Body Oils,GENIUS Liquid Collagen Body Mylk,7.7 oz/ 230 mL,4.0,10,1700,60.0,60.0,no options,1,0,0,0,0.0,0.0,230.0,0.2608695652173913,0.0
75,96,1789999,Algenist,Color Correct,REVEAL Concentrated Color Correcting Drops,0.5 oz/ 15 mL,4.0,269,14600,38.0,38.0,no options,0,0,0,0,0.0,0.0,15.0,2.533333333333333,0.0
76,97,1629948,Algenist,Mists & Essences,Hydrating Essence Toner,5 oz/ 150 mL,4.5,160,9900,25.0,25.0,no options,0,0,0,0,0.0,0.0,150.0,0.16666666666666666,0.0
77,98,1862549,Algenist,Highlighter,REVEAL Concentrated Luminizing Drops,0.5 oz/ 15 mL,4.5,100,6400,38.0,38.0,no options,0,1,0,0,0.0,0.0,15.0,2.533333333333333,0.0
78,100,1898642,Algenist,Mists & Essences,Splash Hydrating Setting Mist,4 oz/ 120 mL,4.5,65,8400,35.0,35.0,no options,0,0,0,0,0.0,0.0,120.0,0.2916666666666667,0.0
79,101,1521392,Algenist,Face Serums,Pore Corrector Anti-Aging Primer,1 oz/ 30 mL,4.5,179,9500,42.0,42.0,no options,0,0,0,0,0.0,0.0,30.0,1.4,0.0
80,102,1823095,Algenist,Face Masks,PERFECT Clarifying Pore Corrector Mask,2 oz/ 60 mL,4.5,55,6000,55.0,55.0,no options,0,0,0,0,0.0,0.0,60.0,0.9166666666666666,0.0
81,103,1866318,Algenist,Color Correct,REVEAL Color Correcting Eye Serum Brightener,0.27 oz/ 8 mL,4.0,39,3500,31.0,31.0,no options,0,1,0,0,0.0,0.0,8.0,3.875,0.0
82,104,1862515,Algenist,Concealer,REVEAL Color Correcting Eye Serum Concealer,0.27 oz/ 8 mL,4.0,26,2000,33.0,33.0,no options,0,1,0,0,0.0,0.0,8.0,4.125,0.0
83,105,2289650,Algenist,Beauty Supplements,Spirulina Microalgae - Vitamin C Probiotic Supplement,7.8 oz/ 234 g,5.0,5,395,65.0,65.0,no options,1,0,0,0,0.0,234.0,0.0,0.0,0.2777777777777778
84,106,1862481,Algenist,Eye Creams & Treatments,ELEVATE Firming & Lifting Contouring Eye Cream,0.5 oz/ 15 mL,3.0,23,1000,72.0,72.0,no options,0,0,0,0,0.0,0.0,15.0,4.8,0.0
85,107,1814862,Algenist,Face Masks,SPLASH Absolute Hydration Replenishing Sleeping Pack,2 oz/ 60 mL,3.5,54,2100,48.0,48.0,no options,0,0,0,0,0.0,0.0,60.0,0.8,0.0
86,108,2289676,Algenist,Beauty Supplements,Chlorella Microalgae - Pro-Collagen Blend Supplement,8.5 oz/ 255 g,5.0,7,429,65.0,65.0,no options,1,0,0,0,0.0,255.0,0.0,0.0,0.2549019607843137
87,109,2289668,Algenist,Beauty Supplements,Irish Moss Algae - Vitamin C + E Supplement,7.6 oz/ 228 g,5.0,4,237,65.0,65.0,no options,1,0,0,0,0.0,228.0,0.0,0.0,0.2850877192982456
88,111,2211761,Algenist,Moisturizers,ALIVE Prebiotic Balancing Moisturizer SPF 15,1.7 oz/ 50 mL,3.5,21,1100,40.0,40.0,no options,0,1,0,0,0.0,0.0,50.0,0.8,0.0
89,112,1707744,Algenist,Facial Peels,GENIUS Ultimate Anti-Aging Bi-Phase Peel,1.69 oz/ 50 mL,4.5,97,9100,85.0,85.0,no options,0,1,0,0,0.0,0.0,50.0,1.7,0.0
90,113,1814854,Algenist,Moisturizers,SPLASH Absolute Hydration Replenishing Gel Moisturizer,2 oz/ 60 mL,4.0,93,3200,58.0,58.0,no options,0,0,0,0,0.0,0.0,60.0,0.9666666666666667,0.0
91,114,1808898,Algenist,Color Correct,Color Correcting Finishing Powder,0.32 oz/ 9.1 g,4.0,46,3900,38.0,38.0,no options,0,0,0,0,0.0,9.1,0.0,0.0,4.175824175824176
92,117,2206225,Alpha-H,Face Serums,Vitamin B Serum,0.85 oz/ 25 mL,5.0,5,1400,70.0,70.0,no options,1,0,0,0,0.0,0.0,25.0,2.8,0.0
93,118,2206159,Alpha-H,Face Wash & Cleansers,Balancing Cleanser,6.25 oz/ 185 mL,5.0,10,499,44.0,44.0,no options,1,0,0,0,0.0,0.0,185.0,0.23783783783783785,0.0
94,119,2206217,Alpha-H,Face Serums,Vitamin A Serum,0.85 oz/ 25 mL,5.0,3,1100,70.0,70.0,no options,1,0,0,0,0.0,0.0,25.0,2.8,0.0
95,120,2206142,Alpha-H,Face Masks,Liquid Gold Ultimate Perfecting Mask,1.69 oz/ 50 mL,4.5,7,680,75.0,75.0,no options,0,0,0,0,0.0,0.0,50.0,1.5,0.0
96,121,2206233,Alpha-H,Face Serums,Instant Facial,3.38 oz/ 100 mL,5.0,3,584,62.0,62.0,no options,1,0,0,0,0.0,0.0,100.0,0.62,0.0
97,122,2206191,Alpha-H,Facial Peels,Beauty Sleep Power Peel,1.69 oz/ 50 mL,5.0,3,1500,129.0,129.0,no options,1,0,0,0,0.0,0.0,50.0,2.58,0.0
98,123,2206241,Alpha-H,Eye Creams & Treatments,Liquid Gold Firming Eye Cream,0.51 oz/ 15 mL,4.0,9,598,99.0,99.0,no options,0,0,0,0,0.0,0.0,15.0,6.6,0.0
99,124,2206175,Alpha-H,Exfoliators,Micro Cleanse Super Scrub,3.38 oz/ 100 mL,3.5,3,438,50.0,50.0,no options,1,0,0,0,0.0,0.0,100.0,0.5,0.0
100,125,2206183,Alpha-H,Moisturizers,Essential Hydration Cream,1.69 oz/ 50 mL,4.5,6,472,52.0,52.0,no options,1,0,0,0,0.0,0.0,50.0,1.04,0.0
101,126,2206167,Alpha-H,Face Wash & Cleansers,Triple Action Cleanser,6.25 oz/ 185 mL,4.5,3,403,44.0,44.0,no options,1,0,0,0,0.0,0.0,185.0,0.23783783783783785,0.0
102,127,2206209,Alpha-H,Moisturizers,Balancing Moisturizer & Gentle Exfoliant,1.69 oz/ 50 mL,3.5,6,533,62.0,62.0,no options,1,0,0,0,0.0,0.0,50.0,1.24,0.0
103,128,2331809,alpyn beauty,Moisturizers,PlantGenius® Melt Moisturizer with Bakuchiol,1.7 oz/ 50 mL,4.5,124,2900,60.0,60.0,no options,1,0,0,0,0.0,0.0,50.0,1.2,0.0
104,129,2331825,alpyn beauty,Face Serums,PlantGenius® Brightening Survival Serum,1.7 oz/ 50 mL,4.5,57,2400,68.0,68.0,no options,1,0,0,0,0.0,0.0,50.0,1.36,0.0
105,130,2331882,alpyn beauty,Face Wash & Cleansers,PlantGenius® Creamy Bubbling Cleanser with Fruit Enzymes & AHAs,4.0 oz/ 118 mL,4.5,67,4900,36.0,36.0,no options,1,0,0,0,0.0,0.0,118.0,0.3050847457627119,0.0
106,131,2331817,alpyn beauty,Eye Creams & Treatments,PlantGenius® Line-Filling Eye Balm with Bakuchiol,0.5 oz/ 14 mL,4.5,74,4200,62.0,62.0,no options,1,0,0,0,0.0,0.0,14.0,4.428571428571429,0.0
107,132,2331833,alpyn beauty,Face Masks,Calming Sleeping Mask with Melatonin & Wild Dandelion,2.0 oz/ 59 mL,4.5,66,3900,68.0,68.0,no options,1,0,0,0,0.0,0.0,59.0,1.152542372881356,0.0
108,137,2140267,ALTERNA Haircare,Shampoo,CAVIAR Anti-Aging® Clinical Densifying Shampoo,8.5 oz/ 250 mL,4.5,148,7100,34.0,34.0,no options,1,0,0,0,0.0,0.0,250.0,0.136,0.0
109,138,2140275,ALTERNA Haircare,Scalp & Hair Treatments,CAVIAR Anti-Aging® Clinical Densifying Leave-In Root Treatment,4.2 oz/ 125 mL,4.0,174,15400,38.0,38.0,no options,1,0,0,0,0.0,0.0,125.0,0.304,0.0
110,143,2140226,ALTERNA Haircare,Hair Styling Products,CAVIAR Anti-Aging® Restructuring Bond Repair Leave-In Heat Protection Spray,4.2 oz/ 125 mL,4.5,97,5300,32.0,32.0,no options,1,0,0,0,0.0,0.0,125.0,0.256,0.0
111,144,2140200,ALTERNA Haircare,Hair Masks,CAVIAR Anti-Aging® Restructuring Bond Repair Masque,5.7 oz/ 161 g,4.5,54,1100,45.0,45.0,no options,1,0,0,0,0.0,161.0,0.0,0.0,0.2795031055900621
112,146,2140341,ALTERNA Haircare,Shampoo,CAVIAR Anti-Aging® Infinite Color Hold Shampoo,8.5 oz/  250 mL,4.5,29,1900,34.0,34.0,no options,1,0,0,0,0.0,0.0,250.0,0.136,0.0
113,147,2140317,ALTERNA Haircare,Hair Styling Products,CAVIAR Anti-Aging® Multiplying Volume Styling Mousse,8.2 oz/ 232 g,4.5,16,2600,30.0,30.0,no options,1,0,0,0,0.0,232.0,0.0,0.0,0.12931034482758622
114,148,2195907,ALTERNA Haircare,Conditioner,CAVIAR Anti-Aging® Replenishing Moisture Priming Leave-In Conditioner,5 oz/ 147 mL,4.5,187,2100,32.0,32.0,no options,1,0,0,0,0.0,0.0,147.0,0.21768707482993196,0.0
